,Code,Financial Year,Annual Revenue,Annual Net,Annual EPS
272,6351,31-Dec-12,"797,523","99,760",60.66
273,6351,31-Dec-11,"735,818","89,990",54.73
274,7083,30-Apr-19,"77,934","5,009",6.73
275,7083,30-Apr-18,"139,879","9,736",17.36
276,7083,30-Apr-17,"153,481","11,181",19.92
277,7083,30-Apr-16,"157,037","13,239",23.56
278,7083,30-Apr-15,"144,239","6,879",12.11
279,7083,30-Apr-14,"140,381","9,690",16.85
280,7083,30-Apr-13,"147,553","9,546",16.33
281,7083,30-Apr-12,"120,628","14,578",24.68
282,4758,31-May-19,"1,073,069","8,820",4.1
283,4758,31-May-18,"1,954,809","17,581",8.17
284,4758,31-May-17,"1,699,506","17,159",7.97
285,4758,31-May-16,"1,507,817","-7,044",-3.25
286,4758,31-May-15,"1,551,736","2,133",0.98
287,4758,31-May-14,"1,862,734","9,301",4.3
288,4758,31-May-13,"2,032,507","-19,840",-9.17
289,4758,31-May-12,"1,749,699","-8,967",-4.15
290,6556,31-Dec-18,"2,322,108","149,544",28.3
291,6556,31-Dec-17,"2,195,212","205,376",40.55
292,6556,31-Dec-16,"1,870,050","166,775",33.32
293,6556,31-Dec-15,"1,760,928","29,095",5.81
294,6556,31-Dec-14,"2,291,946","23,335",4.67
295,6556,31-Dec-13,"2,116,359","12,277",2.45
296,6556,31-Dec-12,"2,080,638","-19,137",-3.81
297,6556,31-Dec-11,"2,237,319","61,663",12.27
298,9342,31-Jul-19,"1,587",-663,-0.08
299,9342,31-Jul-18,"3,225","-2,055",-0.23
300,9342,31-Mar-18,"31,926","-3,864",-0.34
301,9342,31-Mar-17,"12,259","-4,627",0.16
302,9342,31-Mar-16,"6,112","-10,852",-3.84
303,9342,31-Mar-15,"3,185","-3,962",-1.41
304,9342,31-Dec-14,"3,856","-5,257",-1.93
305,9342,31-Dec-13,"16,962","-3,702",-1.66
306,5568,30-Sep-19,"14,923",-67,-0.06
307,5568,30-Sep-18,"70,837","-12,066",-10.89
308,5568,30-Sep-17,"59,353","3,751",3.38
309,5568,30-Sep-16,"86,708","-7,124",-6.42
310,5568,30-Sep-15,"136,888","18,383",16.58
311,5568,30-Sep-14,"173,183","12,189",11
312,5568,30-Sep-13,"137,137","10,481",9.46
313,5568,30-Sep-12,"227,347","8,842",7.98
314,5088,31-Dec-18,"40,789","8,195",4.04
315,5088,31-Dec-17,"43,878","14,040",6.93
316,5088,31-Dec-16,"36,727","10,505",5.19
317,5088,31-Dec-15,"45,923","18,418",9.08
318,5088,31-Dec-14,"72,203","28,836",14.22
319,5088,31-Dec-13,"63,998","25,427",12.56
320,5088,31-Dec-12,"47,376","26,088",12.86
321,5088,31-Dec-11,"51,325","18,356",8.92
322,5194,31-Jan-19,"1,304","-31,970",-2.35
323,5194,31-Jan-18,"5,483","-22,939",-1.41
324,5194,30-Sep-17,"18,572","-24,386",-2.04
325,5194,31-Jul-17,"50,502","-9,542",-1.92
326,5194,31-Jul-16,"3,170","-16,632",-4.07
327,5194,31-Mar-16,"23,785","-18,084",-4.74
328,5194,31-Mar-15,"84,635","-24,260",-7.05
329,5194,31-Mar-14,"19,680","-9,325",-5.09
330,5015,31-Dec-18,"1,334,372","38,441",19.65
331,5015,31-Dec-17,"1,188,519","39,095",19.99
332,5015,31-Dec-16,"1,236,630","48,582",24.84
333,5015,31-Dec-15,"1,152,839","60,491",30.92
334,5015,31-Dec-14,"1,227,870","98,403",50.28
335,5015,31-Dec-13,"1,259,022","125,012",63.88
336,5015,31-Dec-12,"1,198,475","113,602",57.26
337,5015,31-Dec-11,"1,182,070","119,892",61.26
338,6432,30-Apr-19,"89,827","9,217",11.52
339,6432,30-Apr-18,"190,818","11,071",13.83
340,6432,30-Apr-17,"208,917","17,832",22.3
341,6432,30-Apr-16,"208,186","29,783",37.23
342,6432,30-Apr-15,"212,627","25,294",31.62
343,6432,30-Apr-14,"220,506","33,470",41.84
344,6432,30-Apr-13,"222,746","32,084",40.11
345,6432,30-Apr-12,"200,549","21,740",27.18
346,7214,31-Jul-19,"124,458","2,420",2.01
347,7214,31-Jul-18,"498,432","13,942",11.62
348,7214,31-Jul-17,"462,228","16,197",13.5
349,7214,31-Jul-16,"483,844","15,838",13.2
350,7214,31-Jul-15,"485,950","10,316",8.6
351,7214,31-Jul-14,"487,299","9,498",7.91
352,7214,31-Jul-13,"431,474","7,389",6.82
353,7214,31-Jul-12,"400,433","7,206",9.01
354,7007,31-Dec-18,"3,632","-2,659",-5.46
355,7007,31-Dec-17,"8,130",186,0.38
356,7007,31-Dec-16,"6,698","-2,051",-4.34
357,7007,31-Dec-15,"17,497",734,1.73
358,7007,31-Dec-14,"7,400",-195,-0.46
359,7007,31-Dec-13,"9,154",123,0.29
360,7007,31-Dec-12,"12,833",92,0.22
361,7007,31-Dec-11,"4,087","100,769",245.11
362,5210,31-Dec-18,"2,418,739","-2,302,769",-39.21
363,5210,31-Dec-17,"2,402,130","352,247",6.01
364,5210,31-Dec-16,"1,416,596","-1,887,181",-32.18
365,5210,31-Dec-15,"2,179,734","-234,566",-4
366,5210,31-Dec-14,"2,397,339","218,690",6.98
367,5210,31-Dec-13,"2,073,004","431,191",14.71
368,5210,31-Dec-12,"1,659,184","385,828",13.18
369,5210,31-Dec-11,"1,167,737","277,598",10.22
370,5127,31-Dec-18,"97,833","148,394",25.89
371,5127,31-Dec-17,"60,417","74,253",12.96
372,5127,31-Dec-16,"57,385","40,541",7.07
373,5127,31-Dec-15,"61,607","59,684",10.41
374,5127,31-Dec-14,"61,085","107,250",18.72
375,5127,31-Dec-13,"67,005","24,234",4.22
376,5127,31-Dec-12,"66,915","46,886",8.17
377,5127,31-Dec-11,"65,306","73,672",12.85
378,1481,31-Dec-18,"283,583","-4,895",-0.57
379,1481,31-Dec-17,"265,923",-664,-0.11
380,1481,31-Dec-16,"276,775","4,073",0.61
381,1481,31-Dec-15,"268,837","-11,212",-1.69
382,1481,31-Dec-14,"274,467","-4,570",-0.88
383,1481,31-Dec-13,"262,176","-23,416",-4.56
384,1481,31-Dec-12,"229,701",-953,-0.17
385,1481,31-Dec-11,"222,241","4,250",0.85
386,7722,31-Mar-19,"117,038","3,758",3.23
387,7722,31-Mar-18,"150,588","-19,196",-23.9
